fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2024-05-11
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
md.pikara.ne.jp;smtp.md.pikara.ne.jp:587;%EMAILLOCALPART%
af134.secure.ne.jp;af134.secure.ne.jp:465;%EMAILADDRESS%
secure.jp;smtp.secure.jp:587;%EMAILLOCALPART%
secure.ne.jp;smtp.secure.ne.jp:587;%EMAILLOCALPART%
lolipop.jp;smtp.lolipop.jp:465;%EMAILADDRESS%
gmoserver.jp;smtp.gmoserver.jp:465;%EMAILADDRESS%
irmx08.secure.ne.jp;smtp.irmx08.secure.ne.jp:587;%EMAILLOCALPART%
gmobb.jp;smtp.gmobb.jp:465;%EMAILADDRESS%
freebit.net;smtp.freebit.net:465;%EMAILADDRESS%
sea.icn-tv.ne.jp;sea.icn-tv.ne.jp:465;%EMAILADDRESS%
icn-tv.ne.jp;sea.icn-tv.ne.jp:587;%EMAILLOCALPART%
if-n.ne.jp;mail.if-n.ne.jp:587;%EMAILLOCALPART%
alpha-prm.jp;smtp.alpha-prm.jp:465;%EMAILADDRESS%
securemx.jp;smtp.securemx.jp:465;%EMAILADDRESS%
phoenixsecure.jp;smtp.phoenixsecure.jp:587;%EMAILLOCALPART%
hypersecure.jp;smtp.hypersecure.jp:587;%EMAILLOCALPART%
cc9.ne.jp;msa.cc9.ne.jp:465;%EMAILLOCALPART%
sakura.ne.jp;smtp.sakura.ne.jp:587;%EMAILLOCALPART%
soon.sakura.ne.jp;soon.sakura.ne.jp:465;%EMAILADDRESS%
wireless.sakura.ne.jp;wireless.sakura.ne.jp:465;%EMAILADDRESS%
legnax.sakura.ne.jp;legnax.sakura.ne.jp:465;%EMAILADDRESS%
renpon.sakura.ne.jp;renpon.sakura.ne.jp:465;%EMAILADDRESS%
bridge9.sakura.ne.jp;bridge9.sakura.ne.jp:465;%EMAILADDRESS%
tss.sakura.ne.jp:tss.sakura.ne.jp:465;%EMAILADDRESS%
swiz.sakura.ne.jp;swiz.sakura.ne.jp:465;%EMAILADDRESS%
dyna.sakura.ne.jp;dyna.sakura.ne.jp:465;%EMAILADDRESS%
oleaeuropaea.sakura.ne.jp;oleaeuropaea.sakura.ne.jp:465;%EMAILADDRESS%
krym.sakura.ne.jp;krym.sakura.ne.jp:465;%EMAILADDRESS%
www91.sakura.ne.jp;www91.sakura.ne.jp:465;%EMAILADDRESS%
po.sakura.ne.jp;po.sakura.ne.jp:465;%EMAILADDRESS%
dizzymizzlizzy.sakura.ne.jp;dizzymizzlizzy.sakura.ne.jp:465;%EMAILADDRESS%
